,Year,Genre,Region,Sales
0,2006-01-01,Sports,North America,41.49
1,1985-01-01,Platform,North America,29.08
2,2008-01-01,Racing,North America,15.85
3,2009-01-01,Sports,North America,15.75
4,1996-01-01,Role-Playing,North America,11.27
5,1989-01-01,Puzzle,North America,23.2
6,2006-01-01,Platform,North America,11.38
7,2006-01-01,Misc,North America,14.03
8,2009-01-01,Platform,North America,14.59
9,1984-01-01,Shooter,North America,26.93
10,2005-01-01,Simulation,North America,9.07
11,2005-01-01,Racing,North America,9.81
12,1999-01-01,Role-Playing,North America,9.0
13,2007-01-01,Sports,North America,8.94
14,2009-01-01,Sports,North America,9.09
15,2010-01-01,Misc,North America,14.97
16,2013-01-01,Action,North America,7.01
17,2004-01-01,Action,North America,9.43
18,1990-01-01,Platform,North America,12.78
19,2005-01-01,Misc,North America,4.75
20,2006-01-01,Role-Playing,North America,6.42
21,1989-01-01,Platform,North America,10.83
22,1988-01-01,Platform,North America,9.54
23,2013-01-01,Action,North America,9.63
24,2002-01-01,Action,North America,8.41
25,2002-01-01,Role-Playing,North America,6.06
26,2010-01-01,Role-Playing,North America,5.57
27,2005-01-01,Puzzle,North America,3.44
28,2001-01-01,Racing,North America,6.85
29,2011-01-01,Shooter,North America,9.03
30,1998-01-01,Role-Playing,North America,5.89
31,2010-01-01,Shooter,North America,9.67
32,2013-01-01,Role-Playing,North America,5.17
33,2015-01-01,Shooter,North America,5.77
34,2012-01-01,Shooter,North America,4.99
35,2012-01-01,Shooter,North America,8.25
36,2009-01-01,Shooter,North America,8.52
37,2011-01-01,Shooter,North America,5.54
38,2001-01-01,Action,North America,6.99
39,2008-01-01,Fighting,North America,6.75
40,2010-01-01,Shooter,North America,5.98
41,2005-01-01,Simulation,North America,2.55
42,2011-01-01,Racing,North America,4.74
43,2007-01-01,Shooter,North America,7.97
44,2014-01-01,Action,North America,3.8
45,2009-01-01,Action,North America,4.4
46,1996-01-01,Platform,North America,6.91
47,2004-01-01,Racing,North America,3.01
48,2007-01-01,Platform,North America,6.16
49,2014-01-01,Role-Playing,North America,4.23
50,1992-01-01,Adventure,North America,6.16
51,2008-01-01,Action,North America,6.76
52,1997-01-01,Racing,North America,4.02
53,2011-01-01,Platform,North America,4.89
54,2010-01-01,Racing,North America,2.96
55,2009-01-01,Shooter,North America,4.99
56,2008-01-01,Action,North America,4.76
57,1993-01-01,Platform,North America,5.99
58,2004-01-01,Role-Playing,North America,4.34
59,2004-01-01,Platform,North America,5.08
60,2011-01-01,Misc,North America,6.05
61,2013-01-01,Shooter,North America,6.72
62,2010-01-01,Shooter,North America,7.03
63,1996-01-01,Racing,North America,5.55
64,2012-01-01,Platform,North America,3.66
65,2012-01-01,Shooter,North America,6.63
66,1997-01-01,Role-Playing,North America,3.01
67,2013-01-01,Shooter,North America,4.09
68,2010-01-01,Misc,North America,5.84
69,1999-01-01,Racing,North America,3.88
70,2007-01-01,Shooter,North America,5.91
71,1994-01-01,Platform,North America,4.36
72,2013-01-01,Misc,North America,5.58
73,2012-01-01,Simulation,North America,2.01
74,2007-01-01,Misc,North America,4.46
75,2011-01-01,Role-Playing,North America,5.03
76,1992-01-01,Racing,North America,3.54
77,2015-01-01,Sports,North America,1.11
78,2010-01-01,Misc,North America,1.79
79,2004-01-01,Shooter,North America,6.82
80,2007-01-01,Misc,North America,3.81
81,2012-01-01,Role-Playing,North America,2.91
82,2012-01-01,Action,North America,1.06
83,2009-01-01,Simulation,North America,0.98
84,1997-01-01,Shooter,North America,5.8
85,2007-01-01,Sports,North America,2.58
86,2001-01-01,Role-Playing,North America,2.91
87,1999-01-01,Role-Playing,North America,2.28
88,2008-01-01,Role-Playing,North America,2.82
89,1982-01-01,Puzzle,North America,7.28
90,2005-01-01,Action,North America,2.9
91,2010-01-01,Platform,North America,3.66
92,2015-01-01,Shooter,North America,2.93
93,2014-01-01,Shooter,North America,2.8
94,1998-01-01,Action,North America,4.1
95,1997-01-01,Platform,North America,3.78
96,1988-01-01,Platform,North America,5.39
97,2014-01-01,Fighting,North America,3.24
98,2008-01-01,Shooter,North America,4.79
99,2011-01-01,Shooter,North America,4.46
100,2006-01-01,Action,North America,3.83
101,2015-01-01,Shooter,North America,4.52
102,2009-01-01,Misc,North America,3.51
103,2011-01-01,Shooter,North America,2.85
104,2003-01-01,Racing,North America,3.27
105,1998-01-01,Fighting,North America,3.27
106,1998-01-01,Platform,North America,3.68
107,2001-01-01,Fighting,North America,4.41
108,2014-01-01,Racing,North America,3.13
109,2015-01-01,Role-Playing,North America,2.47
110,2003-01-01,Racing,North America,4.12
111,2012-01-01,Misc,North America,4.14
112,2013-01-01,Sports,North America,0.78
113,2004-01-01,Racing,North America,2.71
114,2002-01-01,Shooter,North America,2.93
115,2011-01-01,Action,North America,2.77
116,1996-01-01,Platform,North America,3.23
117,2010-01-01,Sports,North America,3.5
118,2008-01-01,Shooter,North America,4.15
119,2009-01-01,Action,North America,3.27
120,2007-01-01,Shooter,North America,3.1
121,2011-01-01,Sports,North America,0.84
122,2005-01-01,Misc,North America,1.67
123,2010-01-01,Action,North America,2.79
124,2014-01-01,Sports,North America,0.79
125,2010-01-01,Platform,North America,3.25
126,2011-01-01,Role-Playing,North America,2.55
127,1986-01-01,Action,North America,3.74
128,2012-01-01,Action,North America,2.64
129,2001-01-01,Shooter,North America,4.98
130,2004-01-01,Role-Playing,North America,2.57
131,2002-01-01,Role-Playing,North America,3.64
132,2000-01-01,Role-Playing,North America,2.55
133,2009-01-01,Shooter,North America,4.34
134,2010-01-01,Action,North America,3.7
135,2002-01-01,Platform,North America,4.01
136,1992-01-01,Fighting,North America,2.47
137,2004-01-01,Role-Playing,North America,0.07
138,1999-01-01,Action,North America,3.11
139,2010-01-01,Sports,North America,3.92
140,2011-01-01,Shooter,North America,4.05
141,2006-01-01,Shooter,North America,3.54
142,2001-01-01,Action,North America,2.45
143,1992-01-01,Platform,North America,4.47
144,2008-01-01,Action,North America,2.63
145,1998-01-01,Action,North America,3.18
146,2013-01-01,Action,North America,2.41
147,2006-01-01,Role-Playing,North America,1.88
148,2008-01-01,Platform,North America,2.8
149,2009-01-01,Role-Playing,North America,0.66
150,2007-01-01,Action,North America,3.66
151,1998-01-01,Action,North America,1.88
152,1996-01-01,Fighting,North America,2.26
153,2006-01-01,Simulation,North America,3.13
154,2014-01-01,Shooter,North America,2.49
155,1988-01-01,Puzzle,North America,2.97
156,2009-01-01,Action,North America,2.54
157,1999-01-01,Fighting,North America,2.95
158,2007-01-01,Adventure,North America,3.28
159,2011-01-01,Action,North America,2.7
160,2009-01-01,Racing,North America,2.99
161,2008-01-01,Role-Playing,North America,0.47
162,2001-01-01,Platform,North America,3.14
163,2001-01-01,Racing,North America,2.62
164,2001-01-01,Platform,North America,3.21
165,1999-01-01,Strategy,North America,3.18
166,2008-01-01,Shooter,North America,2.72
167,2001-01-01,Platform,North America,2.07
168,2014-01-01,Misc,North America,1.97
169,2009-01-01,Role-Playing,North America,1.74
170,1989-01-01,Puzzle,North America,2.18
171,1999-01-01,Misc,North America,3.02
172,2012-01-01,Action,North America,3.13
173,2000-01-01,Role-Playing,North America,1.62
174,2003-01-01,Role-Playing,North America,1.92
175,1999-01-01,Platform,North America,3.33
176,2009-01-01,Action,North America,3.1
177,2007-01-01,Puzzle,North America,1.22
178,1997-01-01,Action,North America,2.3
179,,Sports,North America,4.26
180,2004-01-01,Role-Playing,North America,0.65
181,2012-01-01,Role-Playing,North America,2.43
182,2003-01-01,Platform,North America,2.93
183,2012-01-01,Platform,North America,2.32
184,1994-01-01,Platform,North America,2.49
185,2012-01-01,Action,North America,1.08
186,2007-01-01,Action,North America,1.9
187,1995-01-01,Platform,North America,2.1
188,2013-01-01,Simulation,North America,0.96
189,2008-01-01,Sports,North America,1.64
190,2003-01-01,Shooter,North America,1.98
191,1992-01-01,Platform,North America,2.71
192,2010-01-01,Role-Playing,North America,3.59
193,2014-01-01,Shooter,North America,3.21
194,1996-01-01,Simulation,North America,3.22
195,2006-01-01,Misc,North America,3.81
196,2009-01-01,Action,North America,1.96
197,2014-01-01,Action,North America,2.66
198,2006-01-01,Action,North America,1.7
199,2010-01-01,Sports,North America,0.6
200,1999-01-01,Platform,North America,3.4
201,1996-01-01,Action,North America,2.05
202,1999-01-01,Sports,North America,3.42
203,2014-01-01,Fighting,North America,2.59
204,1999-01-01,Strategy,North America,2.79
205,1998-01-01,Platform,North America,3.36
206,2007-01-01,Shooter,North America,3.06
207,2007-01-01,Misc,North America,3.49
208,2008-01-01,Role-Playing,North America,3.39
209,2007-01-01,Role-Playing,North America,1.85
